base_date,emd_cd,temp,rain
2019-08-31,2019-08-31,50110510.0,784.7999999999998,366.0
2019-09-30,2019-09-30,50110510.0,650.3,993.5
2019-10-31,2019-10-31,50110510.0,515.5,276.5
2019-11-30,2019-11-30,50110510.0,344.99999999999994,66.5
2019-12-31,2019-12-31,50110510.0,209.79999999999995,67.5
2019-01-31,2019-01-31,50110520.0,110.10000000000002,32.5
2019-02-28,2019-02-28,50110520.0,130.1,52.5
2019-03-31,2019-03-31,50110520.0,253.49999999999994,78.0
2019-04-30,2019-04-30,50110520.0,377.6999999999999,42.0
2019-05-31,2019-05-31,50110520.0,565.7000000000002,92.5
2019-06-30,2019-06-30,50110520.0,601.4,148.0
2019-07-31,2019-07-31,50110520.0,731.6999999999999,420.5
2019-08-31,2019-08-31,50110520.0,784.7999999999998,366.0
2019-09-30,2019-09-30,50110520.0,650.3,993.5
2019-10-31,2019-10-31,50110520.0,515.5,276.5
2019-11-30,2019-11-30,50110520.0,344.99999999999994,66.5
2019-12-31,2019-12-31,50110520.0,209.79999999999995,67.5
2019-01-31,2019-01-31,50110530.0,110.10000000000002,32.5
2019-02-28,2019-02-28,50110530.0,130.1,52.5
2019-03-31,2019-03-31,50110530.0,253.49999999999994,78.0
2019-04-30,2019-04-30,50110530.0,377.6999999999999,42.0
2019-05-31,2019-05-31,50110530.0,565.7000000000002,92.5
2019-06-30,2019-06-30,50110530.0,601.4,148.0
2019-07-31,2019-07-31,50110530.0,731.6999999999999,420.5
2019-08-31,2019-08-31,50110530.0,784.7999999999998,366.0
2019-09-30,2019-09-30,50110530.0,650.3,993.5
2019-10-31,2019-10-31,50110530.0,515.5,276.5
2019-11-30,2019-11-30,50110530.0,344.99999999999994,66.5
2019-12-31,2019-12-31,50110530.0,209.79999999999995,67.5
2019-01-31,2019-01-31,50110540.0,110.10000000000002,32.5
2019-02-28,2019-02-28,50110540.0,130.1,52.5
2019-03-31,2019-03-31,50110540.0,253.49999999999994,78.0
2019-04-30,2019-04-30,50110540.0,377.6999999999999,42.0
2019-05-31,2019-05-31,50110540.0,565.7000000000002,92.5
2019-06-30,2019-06-30,50110540.0,601.4,148.0
2019-07-31,2019-07-31,50110540.0,731.6999999999999,420.5
2019-08-31,2019-08-31,50110540.0,784.7999999999998,366.0
2019-09-30,2019-09-30,50110540.0,650.3,993.5
2019-10-31,2019-10-31,50110540.0,515.5,276.5
2019-11-30,2019-11-30,50110540.0,344.99999999999994,66.5
2019-12-31,2019-12-31,50110540.0,209.79999999999995,67.5
2019-01-31,2019-01-31,50110550.0,110.10000000000002,32.5
2019-02-28,2019-02-28,50110550.0,130.1,52.5
2019-03-31,2019-03-31,50110550.0,253.49999999999994,78.0
2019-04-30,2019-04-30,50110550.0,377.6999999999999,42.0
2019-05-31,2019-05-31,50110550.0,565.7000000000002,92.5
2019-06-30,2019-06-30,50110550.0,601.4,148.0
2019-07-31,2019-07-31,50110550.0,731.6999999999999,420.5
2019-08-31,2019-08-31,50110550.0,784.7999999999998,366.0
2019-09-30,2019-09-30,50110550.0,650.3,993.5
2019-10-31,2019-10-31,50110550.0,515.5,276.5
2019-11-30,2019-11-30,50110550.0,344.99999999999994,66.5
2019-12-31,2019-12-31,50110550.0,209.79999999999995,67.5
2019-01-31,2019-01-31,50110560.0,110.10000000000002,32.5
2019-02-28,2019-02-28,50110560.0,130.1,52.5
2019-03-31,2019-03-31,50110560.0,253.49999999999994,78.0
2019-04-30,2019-04-30,50110560.0,377.6999999999999,42.0
2019-05-31,2019-05-31,50110560.0,565.7000000000002,92.5
2019-06-30,2019-06-30,50110560.0,601.4,148.0
2019-07-31,2019-07-31,50110560.0,731.6999999999999,420.5
2019-08-31,2019-08-31,50110560.0,784.7999999999998,366.0
2019-09-30,2019-09-30,50110560.0,650.3,993.5
2019-10-31,2019-10-31,50110560.0,515.5,276.5
2019-11-30,2019-11-30,50110560.0,344.99999999999994,66.5
2019-12-31,2019-12-31,50110560.0,209.79999999999995,67.5
2019-01-31,2019-01-31,50110570.0,110.10000000000002,32.5
2019-02-28,2019-02-28,50110570.0,130.1,52.5
2019-03-31,2019-03-31,50110570.0,253.49999999999994,78.0
2019-04-30,2019-04-30,50110570.0,377.6999999999999,42.0
2019-05-31,2019-05-31,50110570.0,565.7000000000002,92.5
2019-06-30,2019-06-30,50110570.0,601.4,148.0
2019-07-31,2019-07-31,50110570.0,731.6999999999999,420.5
2019-08-31,2019-08-31,50110570.0,784.7999999999998,366.0
2019-09-30,2019-09-30,50110570.0,650.3,993.5
2019-10-31,2019-10-31,50110570.0,515.5,276.5
2019-11-30,2019-11-30,50110570.0,344.99999999999994,66.5
2019-12-31,2019-12-31,50110570.0,209.79999999999995,67.5
2019-01-31,2019-01-31,50110580.0,110.10000000000002,32.5
2019-02-28,2019-02-28,50110580.0,130.1,52.5
2019-03-31,2019-03-31,50110580.0,253.49999999999994,78.0
2019-04-30,2019-04-30,50110580.0,377.6999999999999,42.0
2019-05-31,2019-05-31,50110580.0,565.7000000000002,92.5
2019-06-30,2019-06-30,50110580.0,601.4,148.0
2019-07-31,2019-07-31,50110580.0,731.6999999999999,420.5
2019-08-31,2019-08-31,50110580.0,784.7999999999998,366.0
2019-09-30,2019-09-30,50110580.0,650.3,993.5
2019-10-31,2019-10-31,50110580.0,515.5,276.5
2019-11-30,2019-11-30,50110580.0,344.99999999999994,66.5
2019-12-31,2019-12-31,50110580.0,209.79999999999995,67.5
2019-01-31,2019-01-31,50110590.0,23.200000000000006,41.5
2019-02-28,2019-02-28,50110590.0,59.699999999999996,106.5
2019-03-31,2019-03-31,50110590.0,184.00000000000003,149.5
2019-04-30,2019-04-30,50110590.0,308.40000000000003,100.5
2019-05-31,2019-05-31,50110590.0,483.20000000000016,400.0
2019-06-30,2019-06-30,50110590.0,521.4,278.0
2019-07-31,2019-07-31,50110590.0,598.0000000000001,775.0
2019-08-31,2019-08-31,50110590.0,690.9999999999999,386.5
2019-09-30,2019-09-30,50110590.0,554.0999999999998,1253.0
2019-10-31,2019-10-31,50110590.0,403.5,29.5
2019-11-30,2019-11-30,50110590.0,261.3,93.5
2019-12-31,2019-12-31,50110590.0,124.1,90.0
2019-01-31,2019-01-31,50110600.0,90.70000000000003,26.0
2019-02-28,2019-02-28,50110600.0,107.7,66.5
2019-03-31,2019-03-31,50110600.0,244.7,103.0
2019-04-30,2019-04-30,50110600.0,345.09999999999997,97.5
2019-05-31,2019-05-31,50110600.0,545.1999999999999,436.0
2019-06-30,2019-06-30,50110600.0,569.5,230.5
2019-07-31,2019-07-31,50110600.0,689.5,680.0
2019-08-31,2019-08-31,50110600.0,728.8000000000001,578.5
2019-09-30,2019-09-30,50110600.0,628.4000000000001,848.0
2019-10-31,2019-10-31,50110600.0,479.20000000000005,340.0
2019-11-30,2019-11-30,50110600.0,312.0,91.0
2019-12-31,2019-12-31,50110600.0,163.30000000000004,73.0
2019-01-31,2019-01-31,50110610.0,81.0,30.0
2019-02-28,2019-02-28,50110610.0,103.60000000000002,69.5
2019-03-31,2019-03-31,50110610.0,232.39999999999998,114.5
2019-04-30,2019-04-30,50110610.0,347.2,97.5
2019-05-31,2019-05-31,50110610.0,530.4000000000001,811.5
2019-06-30,2019-06-30,50110610.0,568.9999999999999,275.5
2019-07-31,2019-07-31,50110610.0,699.5999999999999,607.0
2019-08-31,2019-08-31,50110610.0,719.5000000000001,572.5
2019-09-30,2019-09-30,50110610.0,620.1,871.5
2019-10-31,2019-10-31,50110610.0,475.70000000000005,340.0
2019-11-30,2019-11-30,50110610.0,305.2,91.0
2019-12-31,2019-12-31,50110610.0,173.3,72.5
2019-01-31,2019-01-31,50110620.0,23.200000000000006,41.5
2019-02-28,2019-02-28,50110620.0,59.699999999999996,106.5
2019-03-31,2019-03-31,50110620.0,184.00000000000003,149.5
2019-04-30,2019-04-30,50110620.0,308.40000000000003,100.5
2019-05-31,2019-05-31,50110620.0,483.20000000000016,400.0
2019-06-30,2019-06-30,50110620.0,521.4,278.0
2019-07-31,2019-07-31,50110620.0,598.0000000000001,775.0
2019-08-31,2019-08-31,50110620.0,690.9999999999999,386.5
2019-09-30,2019-09-30,50110620.0,554.0999999999998,1253.0
2019-10-31,2019-10-31,50110620.0,403.5,29.5
2019-11-30,2019-11-30,50110620.0,261.3,93.5
2019-12-31,2019-12-31,50110620.0,124.1,90.0
2019-01-31,2019-01-31,50110630.0,14.700000000000005,32.5
2019-02-28,2019-02-28,50110630.0,58.60000000000001,64.5
2019-03-31,2019-03-31,50110630.0,160.9,177.5
2019-04-30,2019-04-30,50110630.0,330.9,44.5
2019-05-31,2019-05-31,50110630.0,495.20000000000005,633.0
2019-06-30,2019-06-30,50110630.0,556.6999999999999,248.0
