base_date,emd_cd,temp,rain
2018-01-31,2018-01-31,50110250,3.229032258064516,57.5
2018-02-28,2018-02-28,50110250,3.9142857142857137,83.5
2018-03-31,2018-03-31,50110250,10.032258064516125,197.5
2018-04-30,2018-04-30,50110250,14.580000000000002,185.0
2018-05-31,2018-05-31,50110250,17.835483870967742,285.5
2018-06-30,2018-06-30,50110250,20.883333333333333,234.5
2018-07-31,2018-07-31,50110250,26.37096774193549,20.5
2018-08-31,2018-08-31,50110250,27.309677419354838,328.0
2018-09-30,2018-09-30,50110250,22.500000000000004,174.5
2018-10-31,2018-10-31,50110250,16.15483870967742,149.0
2018-11-30,2018-11-30,50110250,11.753333333333332,73.0
2018-12-31,2018-12-31,50110250,6.845161290322579,74.5
2018-01-31,2018-01-31,50110253,-3.1225806451612903,135.5
2018-02-28,2018-02-28,50110253,-1.9249999999999994,108.0
2018-03-31,2018-03-31,50110253,6.477419354838707,350.0
2018-04-30,2018-04-30,50110253,9.756666666666666,553.5
2018-05-31,2018-05-31,50110253,14.635483870967745,402.0
2018-06-30,2018-06-30,50110253,16.94,230.5
2018-07-31,2018-07-31,50110253,22.293548387096774,60.5
2018-08-31,2018-08-31,50110253,22.970967741935482,678.0
2018-09-30,2018-09-30,50110253,17.026666666666664,517.0
2018-10-31,2018-10-31,50110253,9.151612903225804,734.0
2018-11-30,2018-11-30,50110253,6.529999999999999,72.0
2018-12-31,2018-12-31,50110253,2.3193548387096774,88.5
2018-01-31,2018-01-31,50110256,4.264516129032258,52.5
2018-02-28,2018-02-28,50110256,4.971428571428571,80.0
2018-03-31,2018-03-31,50110256,9.3,164.5
2018-04-30,2018-04-30,50110256,15.15,132.5
2018-05-31,2018-05-31,50110256,18.358064516129037,133.5
2018-06-30,2018-06-30,50110256,21.783333333333328,330.5
2018-07-31,2018-07-31,50110256,25.070967741935483,74.0
2018-08-31,2018-08-31,50110256,24.022580645161284,149.5
2018-09-30,2018-09-30,50110256,21.756666666666664,307.0
2018-10-31,2018-10-31,50110256,16.77741935483871,184.5
2018-11-30,2018-11-30,50110256,12.88,30.0
2018-12-31,2018-12-31,50110256,8.209677419354838,62.5
2018-01-31,2018-01-31,50110259,1.341935483870968,108.5
2018-02-28,2018-02-28,50110259,2.05,115.5
2018-03-31,2018-03-31,50110259,8.464516129032257,421.5
2018-04-30,2018-04-30,50110259,13.51,179.5
2018-05-31,2018-05-31,50110259,16.351612903225806,144.5
2018-06-30,2018-06-30,50110259,18.40333333333334,240.0
2018-07-31,2018-07-31,50110259,23.254838709677415,101.0
2018-08-31,2018-08-31,50110259,24.49354838709677,470.0
2018-09-30,2018-09-30,50110259,20.226666666666667,468.0
2018-10-31,2018-10-31,50110259,13.59032258064516,363.5
2018-11-30,2018-11-30,50110259,9.890000000000002,43.0
2018-12-31,2018-12-31,50110259,5.029032258064515,114.0
2018-01-31,2018-01-31,50110310,3.109677419354839,58.5
2018-02-28,2018-02-28,50110310,3.8214285714285707,84.0
2018-03-31,2018-03-31,50110310,9.883870967741935,201.5
2018-04-30,2018-04-30,50110310,14.586666666666668,185.0
2018-05-31,2018-05-31,50110310,17.703225806451616,302.5
2018-06-30,2018-06-30,50110310,20.966666666666665,235.0
2018-07-31,2018-07-31,50110310,26.306451612903235,22.5
2018-08-31,2018-08-31,50110310,27.325806451612905,314.5
2018-09-30,2018-09-30,50110310,22.43,176.5
2018-10-31,2018-10-31,50110310,16.083870967741937,149.0
2018-11-30,2018-11-30,50110310,11.753333333333332,73.0
2018-12-31,2018-12-31,50110310,6.719354838709676,74.5
2018-01-31,2018-01-31,50110320,3.845161290322582,41.5
2018-02-28,2018-02-28,50110320,4.675,42.0
2018-03-31,2018-03-31,50110320,9.75483870967742,136.0
2018-04-30,2018-04-30,50110320,13.426666666666668,133.0
2018-05-31,2018-05-31,50110320,16.632258064516133,102.5
2018-06-30,2018-06-30,50110320,20.33,220.5
2018-07-31,2018-07-31,50110320,25.209677419354836,22.0
2018-08-31,2018-08-31,50110320,26.293548387096777,81.0
2018-09-30,2018-09-30,50110320,20.159999999999993,199.0
2018-10-31,2018-10-31,50110320,17.23225806451613,186.5
2018-11-30,2018-11-30,50110320,12.633333333333335,34.0
2018-12-31,2018-12-31,50110320,7.251612903225808,51.0
2018-01-31,2018-01-31,50110330,4.719354838709676,50.0
2018-02-28,2018-02-28,50110330,5.9607142857142845,67.0
2018-03-31,2018-03-31,50110330,11.038709677419357,165.5
2018-04-30,2018-04-30,50110330,14.556666666666667,167.0
2018-05-31,2018-05-31,50110330,17.712903225806453,164.0
2018-06-30,2018-06-30,50110330,20.336666666666662,245.0
2018-07-31,2018-07-31,50110330,25.048387096774192,32.0
2018-08-31,2018-08-31,50110330,27.490322580645163,97.0
2018-09-30,2018-09-30,50110330,22.61,244.5
2018-10-31,2018-10-31,50110330,18.035483870967738,142.0
2018-11-30,2018-11-30,50110330,14.726666666666668,27.0
2018-12-31,2018-12-31,50110330,8.961290322580643,59.5
2018-01-31,2018-01-31,50110510,2.1129032258064515,58.0
2018-02-28,2018-02-28,50110510,2.567857142857143,106.0
