base_date,emd_cd,distancing
0,2021-07-31,50110250,1.8387096774193548
1,2021-07-31,50110253,1.8387096774193548
2,2021-07-31,50110256,1.8387096774193548
3,2021-07-31,50110259,1.8387096774193548
4,2021-07-31,50110310,1.8387096774193548
5,2021-07-31,50110320,1.8387096774193548
6,2021-07-31,50110330,1.8387096774193548
7,2021-07-31,50110510,1.8387096774193548
8,2021-07-31,50110520,1.8387096774193548
9,2021-07-31,50110530,1.8387096774193548
10,2021-07-31,50110540,1.8387096774193548
11,2021-07-31,50110550,1.8387096774193548
12,2021-07-31,50110560,1.8387096774193548
13,2021-07-31,50110570,1.8387096774193548
14,2021-07-31,50110580,1.8387096774193548
15,2021-07-31,50110590,1.8387096774193548
16,2021-07-31,50110600,1.8387096774193548
17,2021-07-31,50110610,1.8387096774193548
18,2021-07-31,50110620,1.8387096774193548
19,2021-07-31,50110630,1.8387096774193548
20,2021-07-31,50110640,1.8387096774193548
21,2021-07-31,50110650,1.8387096774193548
22,2021-07-31,50110660,1.8387096774193548
23,2021-07-31,50110670,1.8387096774193548
24,2021-07-31,50110680,1.8387096774193548
25,2021-07-31,50110690,1.8387096774193548
26,2021-07-31,50130250,1.8387096774193548
27,2021-07-31,50130253,1.8387096774193548
28,2021-07-31,50130259,1.8387096774193548
29,2021-07-31,50130310,1.8387096774193548
30,2021-07-31,50130320,1.8387096774193548
31,2021-07-31,50130510,1.8387096774193548
32,2021-07-31,50130520,1.8387096774193548
33,2021-07-31,50130530,1.8387096774193548
34,2021-07-31,50130540,1.8387096774193548
35,2021-07-31,50130550,1.8387096774193548
36,2021-07-31,50130560,1.8387096774193548
37,2021-07-31,50130570,1.8387096774193548
38,2021-07-31,50130580,1.8387096774193548
39,2021-07-31,50130590,1.8387096774193548
40,2021-07-31,50130600,1.8387096774193548
41,2021-07-31,50130610,1.8387096774193548
42,2021-07-31,50130620,1.8387096774193548
43,2021-08-31,50110250,3.4516129032258065
44,2021-08-31,50110253,3.4516129032258065
45,2021-08-31,50110256,3.4516129032258065
46,2021-08-31,50110259,3.4516129032258065
47,2021-08-31,50110310,3.4516129032258065
48,2021-08-31,50110320,3.4516129032258065
49,2021-08-31,50110330,3.4516129032258065
50,2021-08-31,50110510,3.4516129032258065
51,2021-08-31,50110520,3.4516129032258065
52,2021-08-31,50110530,3.4516129032258065
53,2021-08-31,50110540,3.4516129032258065
54,2021-08-31,50110550,3.4516129032258065
55,2021-08-31,50110560,3.4516129032258065
56,2021-08-31,50110570,3.4516129032258065
57,2021-08-31,50110580,3.4516129032258065
58,2021-08-31,50110590,3.4516129032258065
59,2021-08-31,50110600,3.4516129032258065
60,2021-08-31,50110610,3.4516129032258065
61,2021-08-31,50110620,3.4516129032258065
62,2021-08-31,50110630,3.4516129032258065
63,2021-08-31,50110640,3.4516129032258065
64,2021-08-31,50110650,3.4516129032258065
65,2021-08-31,50110660,3.4516129032258065
66,2021-08-31,50110670,3.4516129032258065
67,2021-08-31,50110680,3.4516129032258065
68,2021-08-31,50110690,3.4516129032258065
69,2021-08-31,50130250,3.4516129032258065
70,2021-08-31,50130253,3.4516129032258065
71,2021-08-31,50130259,3.4516129032258065
72,2021-08-31,50130310,3.4516129032258065
73,2021-08-31,50130320,3.4516129032258065
74,2021-08-31,50130510,3.4516129032258065
75,2021-08-31,50130520,3.4516129032258065
76,2021-08-31,50130530,3.4516129032258065
77,2021-08-31,50130540,3.4516129032258065
78,2021-08-31,50130550,3.4516129032258065
79,2021-08-31,50130560,3.4516129032258065
80,2021-08-31,50130570,3.4516129032258065
81,2021-08-31,50130580,3.4516129032258065
82,2021-08-31,50130590,3.4516129032258065
83,2021-08-31,50130600,3.4516129032258065
84,2021-08-31,50130610,3.4516129032258065
85,2021-08-31,50130620,3.4516129032258065
